Temperature,GVelocity,LVelocity,VoidFraction,Location
323.2,E-18,E-18,0.21285,0.0165
323.18,-6.30E-07,0.047965,0.20482,0.016484
323.17,-1.26E-06,0.095936,0.19679,0.016467
323.15,-1.89E-06,0.1439,0.18877,0.016451
323.14,-2.52E-06,0.19187,0.18074,0.016434
323.12,-3.15E-06,0.23984,0.17271,0.016417
323.11,-3.78E-06,0.2878,0.16468,0.016401
323.1,6.89E-06,0.31529,0.15468,0.016384
323.1,1.83E-05,0.34146,0.14456,0.016368
323.09,2.97E-05,0.36762,0.13443,0.016352
323.08,4.11E-05,0.39379,0.12431,0.016335
323.08,5.25E-05,0.41996,0.11419,0.016319
323.07,6.39E-05,0.44612,0.10406,0.016302
323.07,7.34E-05,0.46628,0.097034,0.016285
323.07,8.08E-05,0.4796,0.093529,0.016269
323.06,8.81E-05,0.49292,0.090023,0.016252
323.06,9.55E-05,0.50624,0.086518,0.016236
323.06,0.00010285,0.51955,0.083012,0.01622
323.06,0.00011022,0.53287,0.079507,0.016203
323.06,0.00011758,0.54619,0.076001,0.016186
323.06,0.00012143,0.55642,0.073548,0.01617
323.05,0.0001225,0.5642,0.071925,0.016153
323.05,0.00012357,0.57197,0.070303,0.016137
323.05,0.00012464,0.57975,0.068681,0.016121
323.05,0.00012571,0.58753,0.067059,0.016104
323.05,0.00012679,0.59531,0.065437,0.016088
323.05,0.00012786,0.60308,0.063815,0.016071
323.05,0.00012885,0.61038,0.062302,0.016054
323.05,0.00012947,0.61551,0.061284,0.016038
323.05,0.00013009,0.62063,0.060265,0.016021
323.05,0.00013071,0.62576,0.059247,0.016005
323.05,0.00013133,0.63088,0.058229,0.015989
323.05,0.00013195,0.63601,0.05721,0.015972
323.05,0.00013257,0.64113,0.056192,0.015956
323.04,0.00013319,0.64626,0.055173,0.015939
323.04,0.00013372,0.65094,0.054241,0.015922
323.04,0.00013403,0.65458,0.053505,0.015906
323.04,0.00013434,0.65823,0.052769,0.015889
323.04,0.00013466,0.66188,0.052033,0.015873
323.04,0.00013497,0.66553,0.051298,0.015857
323.04,0.00013528,0.66918,0.050562,0.01584
323.04,0.0001356,0.67283,0.049826,0.015824
323.04,0.00013591,0.67648,0.04909,0.015807
323.04,0.00013622,0.68013,0.048354,0.01579
323.04,0.00013642,0.68296,0.047763,0.015774
323.04,0.00013661,0.68569,0.04719,0.015757
323.04,0.0001368,0.68843,0.046616,0.015741
323.04,0.00013698,0.69116,0.046043,0.015725
323.04,0.00013717,0.69389,0.04547,0.015708
323.04,0.00013736,0.69662,0.044896,0.015692
323.04,0.00013754,0.69935,0.044323,0.015675
323.04,0.00013773,0.70209,0.043749,0.015658
323.04,0.00013792,0.70482,0.043176,0.015642
323.04,0.0001381,0.70698,0.042699,0.015625
323.04,0.00013828,0.70909,0.042232,0.015609
323.04,0.00013845,0.7112,0.041765,0.015592
323.04,0.00013863,0.7133,0.041298,0.015576
323.04,0.00013881,0.71541,0.040831,0.01556
323.04,0.00013899,0.71752,0.040364,0.015543
323.04,0.00013917,0.71963,0.039897,0.015526
323.03,0.00013935,0.72173,0.03943,0.01551
323.03,0.00013953,0.72384,0.038963,0.015494
323.03,0.00013972,0.7258,0.03852,0.015477
323.03,0.00013993,0.72745,0.03813,0.01546
323.03,0.00014014,0.7291,0.037739,0.015444
323.03,0.00014035,0.73075,0.037349,0.015428
323.03,0.00014056,0.7324,0.036958,0.015411
323.03,0.00014077,0.73405,0.036567,0.015395
323.03,0.00014098,0.7357,0.036177,0.015378
323.03,0.00014119,0.73735,0.035786,0.015361
323.03,0.0001414,0.739,0.035396,0.015345
323.03,0.00014161,0.74065,0.035005,0.015329
323.03,0.00014183,0.74227,0.034619,0.015312
323.03,0.0001421,0.74356,0.034287,0.015295
323.03,0.00014237,0.74486,0.033956,0.015279
323.03,0.00014263,0.74616,0.033624,0.015263
323.03,0.0001429,0.74745,0.033292,0.015246
323.03,0.00014317,0.74875,0.03296,0.015229
323.03,0.00014344,0.75005,0.032628,0.015213
323.03,0.00014371,0.75134,0.032296,0.015197
323.03,0.00014398,0.75264,0.031964,0.01518
323.03,0.00014425,0.75394,0.031632,0.015163
323.03,0.00014452,0.75524,0.0313,0.015147
323.03,0.00014479,0.75649,0.030975,0.015131
323.03,0.0001451,0.7575,0.03069,0.015114
323.03,0.00014541,0.75852,0.030406,0.015097
323.03,0.00014573,0.75953,0.030121,0.015081
323.03,0.00014604,0.76055,0.029836,0.015065
323.03,0.00014635,0.76156,0.029552,0.015048
323.03,0.00014666,0.76257,0.029267,0.015031
323.03,0.00014697,0.76359,0.028982,0.015015
323.03,0.00014728,0.7646,0.028697,0.014999
323.03,0.0001476,0.76562,0.028413,0.014982
323.03,0.00014791,0.76663,0.028128,0.014965
323.03,0.00014822,0.76765,0.027843,0.014949
323.03,0.00014854,0.76855,0.027578,0.014933
323.03,0.00014887,0.76933,0.027332,0.014916
323.03,0.0001492,0.77011,0.027087,0.014899
323.03,0.00014952,0.77089,0.026842,0.014883
323.03,0.00014985,0.77167,0.026597,0.014867
323.03,0.00015018,0.77245,0.026352,0.01485
323.03,0.00015051,0.77323,0.026107,0.014833
323.03,0.00015084,0.77401,0.025862,0.014817
323.03,0.00015117,0.77479,0.025617,0.014801
323.03,0.00015149,0.77557,0.025371,0.014784
323.03,0.00015182,0.77635,0.025126,0.014767
323.03,0.00015215,0.77713,0.024881,0.014751
323.03,0.00015248,0.77791,0.024637,0.014735
323.03,0.00015281,0.77849,0.024426,0.014718
323.03,0.00015314,0.77907,0.024215,0.014701
323.03,0.00015347,0.77965,0.024004,0.014685
323.03,0.0001538,0.78024,0.023793,0.014669
323.02,0.00015413,0.78082,0.023583,0.014652
323.02,0.00015446,0.7814,0.023372,0.014635
323.02,0.00015479,0.78198,0.023161,0.014619
323.02,0.00015512,0.78256,0.02295,0.014603
323.02,0.00015544,0.78315,0.022739,0.014586
323.02,0.00015577,0.78373,0.022529,0.01457
323.02,0.0001561,0.78431,0.022318,0.014553
323.02,0.00015643,0.78489,0.022107,0.014536
323.02,0.00015676,0.78547,0.021896,0.01452
323.02,0.00015707,0.78594,0.021707,0.014504
323.02,0.00015737,0.78635,0.021527,0.014487
323.02,0.00015768,0.78676,0.021346,0.01447
323.02,0.00015798,0.78717,0.021166,0.014454
323.02,0.00015828,0.78758,0.020986,0.014438
323.02,0.00015858,0.78799,0.020806,0.014421
323.02,0.00015888,0.7884,0.020625,0.014404
323.02,0.00015919,0.78881,0.020445,0.014388
323.02,0.00015949,0.78922,0.020265,0.014372
323.02,0.00015979,0.78963,0.020085,0.014355
323.02,0.00016009,0.79005,0.019904,0.014338
323.02,0.00016039,0.79046,0.019724,0.014322
323.02,0.00016069,0.79087,0.019544,0.014306
323.02,0.000161,0.79128,0.019364,0.014289
323.02,0.00016127,0.79162,0.019197,0.014272
323.02,0.0001615,0.79188,0.019044,0.014256
323.02,0.00016174,0.79214,0.018891,0.01424
323.02,0.00016198,0.79241,0.018738,0.014223
323.02,0.00016222,0.79267,0.018585,0.014206
323.02,0.00016245,0.79293,0.018433,0.01419
323.02,0.00016269,0.7932,0.01828,0.014174
323.02,0.00016293,0.79346,0.018127,0.014157
323.02,0.00016317,0.79372,0.017974,0.01414
323.02,0.00016341,0.79399,0.017821,0.014124
323.02,0.00016364,0.79425,0.017668,0.014108
323.02,0.00016388,0.79451,0.017516,0.014091
323.02,0.00016412,0.79477,0.017363,0.014074
323.02,0.00016436,0.79504,0.01721,0.014058
323.02,0.00016459,0.7953,0.017057,0.014042
