CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location
1500,100,0.2,0.21285,0.0165
1500,100,0.18,0.20482,0.016484
1500,100,0.17,0.19679,0.016467
1500,100,0.15,0.18877,0.016451
1500,100,0.14,0.18074,0.016434
1500,100,0.12,0.17271,0.016417
1500,100,0.11,0.16468,0.016401
1500,100,0.1,0.15468,0.016384
1500,100,0.1,0.14456,0.016368
1500,100,0.09,0.13443,0.016352
1500,100,0.08,0.12431,0.016335
1500,100,0.08,0.11419,0.016319
1500,100,0.07,0.10406,0.016302
1500,100,0.07,0.097034,0.016285
1500,100,0.07,0.093529,0.016269
1500,100,0.06,0.090023,0.016252
1500,100,0.06,0.086518,0.016236
1500,100,0.06,0.083012,0.01622
1500,100,0.06,0.079507,0.016203
1500,100,0.06,0.076001,0.016186
1500,100,0.06,0.073548,0.01617
1500,100,0.05,0.071925,0.016153
1500,100,0.05,0.070303,0.016137
1500,100,0.05,0.068681,0.016121
1500,100,0.05,0.067059,0.016104
1500,100,0.05,0.065437,0.016088
1500,100,0.05,0.063815,0.016071
1500,100,0.05,0.062302,0.016054
1500,100,0.05,0.061284,0.016038
1500,100,0.05,0.060265,0.016021
1500,100,0.05,0.059247,0.016005
1500,100,0.05,0.058229,0.015989
1500,100,0.05,0.05721,0.015972
1500,100,0.05,0.056192,0.015956
1500,100,0.04,0.055173,0.015939
1500,100,0.04,0.054241,0.015922
1500,100,0.04,0.053505,0.015906
1500,100,0.04,0.052769,0.015889
1500,100,0.04,0.052033,0.015873
1500,100,0.04,0.051298,0.015857
1500,100,0.04,0.050562,0.01584
1500,100,0.04,0.049826,0.015824
1500,100,0.04,0.04909,0.015807
1500,100,0.04,0.048354,0.01579
1500,100,0.04,0.047763,0.015774
1500,100,0.04,0.04719,0.015757
1500,100,0.04,0.046616,0.015741
1500,100,0.04,0.046043,0.015725
1500,100,0.04,0.04547,0.015708
1500,100,0.04,0.044896,0.015692
1500,100,0.04,0.044323,0.015675
1500,100,0.04,0.043749,0.015658
1500,100,0.04,0.043176,0.015642
1500,100,0.04,0.042699,0.015625
1500,100,0.04,0.042232,0.015609
1500,100,0.04,0.041765,0.015592
1500,100,0.04,0.041298,0.015576
1500,100,0.04,0.040831,0.01556
1500,100,0.04,0.040364,0.015543
1500,100,0.04,0.039897,0.015526
1500,100,0.03,0.03943,0.01551
1500,100,0.03,0.038963,0.015494
1500,100,0.03,0.03852,0.015477
1500,100,0.03,0.03813,0.01546
1500,100,0.03,0.037739,0.015444
1500,100,0.03,0.037349,0.015428
1500,100,0.03,0.036958,0.015411
1500,100,0.03,0.036567,0.015395
1500,100,0.03,0.036177,0.015378
1500,100,0.03,0.035786,0.015361
1500,100,0.03,0.035396,0.015345
1500,100,0.03,0.035005,0.015329
1500,100,0.03,0.034619,0.015312
1500,100,0.03,0.034287,0.015295
1500,100,0.03,0.033956,0.015279
1500,100,0.03,0.033624,0.015263
1500,100,0.03,0.033292,0.015246
1500,100,0.03,0.03296,0.015229
1500,100,0.03,0.032628,0.015213
1500,100,0.03,0.032296,0.015197
