CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location,Distance
1500,100,0.04,0.051298,0.015857,0.000643
500,50,0.01,0.016477,0.015857,0.000643
500,100,0.01,0.016553,0.015857,0.000643
500,150,0.01,0.015708,0.015857,0.000643
500,200,0.01,0.0003178,0.015857,0.000643
500,250,0.01,0.000032689,0.015857,0.000643
1500,50,0.04,0.051383,0.015857,0.000643
1500,150,0.05,0.050933,0.015857,0.000643
1500,200,0.05,0.00032597,0.015857,0.000643
1500,250,0.05,0.000033747,0.015857,0.000643
2500,50,0.09,0.08917,0.015857,0.000643
2500,100,0.09,0.089335,0.015857,0.000643
2500,150,0.09,0.036093,0.015857,0.000643
2500,200,0.11,0.050957,0.015857,0.000643
2500,250,0.12,0.042751,0.015857,0.000643
3500,50,0.18,0.13736,0.015857,0.000643
3500,100,0.18,0.13884,0.015857,0.000643
3500,150,0.19,0.11475,0.015857,0.000643
3500,200,0.21,0.1173,0.015857,0.000643
3500,250,0.21,0.093874,0.015857,0.000643
4500,50,0.28,0.1851,0.015857,0.000643
4500,100,0.27,0.15986,0.015857,0.000643
4500,150,0.3,0.17651,0.015857,0.000643
4500,200,0.31,0.16142,0.015857,0.000643
4500,250,0.35,0.13688,0.015857,0.000643
5500,50,0.42,0.23264,0.015857,0.000643
5500,100,0.41,0.22124,0.015857,0.000643
5500,150,0.42,0.21569,0.015857,0.000643
5500,200,0.43,0.2036,0.015857,0.000643
5500,250,0.46,0.17048,0.015857,0.000643
6500,50,0.54,0.25594,0.015857,0.000643
6500,100,0.54,0.24925,0.015857,0.000643
6500,150,0.54,0.24513,0.015857,0.000643
6500,200,0.58,0.24518,0.015857,0.000643
6500,250,0.57,0.19073,0.015857,0.000643
1500,100,0.03,0.026352,0.01485,0.00165
500,50,0.01,0.0092322,0.01485,0.00165
500,100,0.01,0.0091157,0.01485,0.00165
500,150,0.01,0.0078879,0.01485,0.00165
500,200,0.01,0.0002009,0.01485,0.00165
500,250,0.01,0.000033377,0.01485,0.00165
1500,50,0.03,0.026768,0.01485,0.00165
1500,150,0.03,0.021148,0.01485,0.00165
1500,200,0.02,0.00011101,0.01485,0.00165
1500,250,0.02,9.23E-06,0.01485,0.00165
2500,50,0.06,0.041565,0.01485,0.00165
2500,100,0.06,0.040628,0.01485,0.00165
2500,150,0.05,0.015569,0.01485,0.00165
2500,200,0.05,0.0040068,0.01485,0.00165
2500,250,0.05,0.0034218,0.01485,0.00165
3500,50,0.09,0.046518,0.01485,0.00165
3500,100,0.09,0.04413,0.01485,0.00165
3500,150,0.08,0.015888,0.01485,0.00165
3500,200,0.09,0.016247,0.01485,0.00165
3500,250,0.09,0.015102,0.01485,0.00165
4500,50,0.14,0.043458,0.01485,0.00165
4500,100,0.13,0.036517,0.01485,0.00165
4500,150,0.13,0.031389,0.01485,0.00165
4500,200,0.14,0.033504,0.01485,0.00165
4500,250,0.15,0.0304,0.01485,0.00165
5500,50,0.2,0.061856,0.01485,0.00165
5500,100,0.2,0.051979,0.01485,0.00165
5500,150,0.21,0.054639,0.01485,0.00165
5500,200,0.21,0.054755,0.01485,0.00165
5500,250,0.22,0.04618,0.01485,0.00165
6500,50,0.29,0.08553,0.01485,0.00165
6500,100,0.29,0.078321,0.01485,0.00165
6500,150,0.29,0.079316,0.01485,0.00165
6500,200,0.3,0.075254,0.01485,0.00165
6500,250,0.29,0.063959,0.01485,0.00165
1500,100,0.02,0.014752,0.013744,0.002756
500,50,0,0.0056912,0.013744,0.002756
500,100,0,0.0055357,0.013744,0.002756
500,150,0,0.0045036,0.013744,0.002756
500,200,0,0.0001288,0.013744,0.002756
500,250,0,0.000028532,0.013744,0.002756
1500,50,0.02,0.015137,0.013744,0.002756
1500,150,0.02,0.010641,0.013744,0.002756
1500,200,0.02,8.18E-05,0.013744,0.002756
1500,250,0.02,7.49E-06,0.013744,0.002756
2500,50,0.04,0.021737,0.013744,0.002756
2500,100,0.04,0.021034,0.013744,0.002756
2500,150,0.04,0.00967,0.013744,0.002756
2500,200,0.04,0.0010906,0.013744,0.002756
2500,250,0.04,0.00072888,0.013744,0.002756
3500,50,0.08,0.024758,0.013744,0.002756
3500,100,0.08,0.023562,0.013744,0.002756
3500,150,0.07,0.0086359,0.013744,0.002756
3500,200,0.07,0.0052061,0.013744,0.002756
3500,250,0.07,0.004855,0.013744,0.002756
4500,50,0.11,0.021657,0.013744,0.002756
4500,100,0.11,0.019062,0.013744,0.002756
4500,150,0.11,0.011797,0.013744,0.002756
4500,200,0.11,0.010476,0.013744,0.002756
4500,250,0.12,0.010247,0.013744,0.002756
5500,50,0.16,0.0215,0.013744,0.002756
5500,100,0.16,0.019338,0.013744,0.002756
5500,150,0.16,0.017732,0.013744,0.002756
5500,200,0.17,0.017375,0.013744,0.002756
5500,250,0.17,0.016411,0.013744,0.002756
6500,50,0.23,0.028884,0.013744,0.002756
6500,100,0.23,0.026308,0.013744,0.002756
6500,150,0.23,0.026233,0.013744,0.002756
6500,200,0.23,0.025442,0.013744,0.002756
6500,250,0.23,0.024092,0.013744,0.002756
1500,100,0.02,0.0093692,0.012705,0.003795
500,50,0,0.0037539,0.012705,0.003795
500,100,0,0.0036236,0.012705,0.003795
500,150,0,0.0028235,0.012705,0.003795
500,200,0,0.000087467,0.012705,0.003795
500,250,0,0.00002307,0.012705,0.003795
1500,50,0.02,0.0096724,0.012705,0.003795
1500,150,0.02,0.0065321,0.012705,0.003795
1500,200,0.01,6.35E-05,0.012705,0.003795
1500,250,0.01,6.25E-06,0.012705,0.003795
2500,50,0.04,0.013908,0.012705,0.003795
2500,100,0.04,0.013396,0.012705,0.003795
2500,150,0.04,0.0066622,0.012705,0.003795
2500,200,0.04,0.00042796,0.012705,0.003795
2500,250,0.04,0.00021357,0.012705,0.003795
3500,50,0.07,0.016062,0.012705,0.003795
3500,100,0.07,0.015201,0.012705,0.003795
3500,150,0.07,0.0058576,0.012705,0.003795
3500,200,0.07,0.0024649,0.012705,0.003795
3500,250,0.07,0.0021453,0.012705,0.003795
4500,50,0.11,0.013983,0.012705,0.003795
4500,100,0.11,0.012576,0.012705,0.003795
4500,150,0.11,0.007047,0.012705,0.003795
4500,200,0.11,0.0051537,0.012705,0.003795
4500,250,0.11,0.0049713,0.012705,0.003795
5500,50,0.16,0.012524,0.012705,0.003795
5500,100,0.16,0.011575,0.012705,0.003795
5500,150,0.16,0.0095125,0.012705,0.003795
5500,200,0.16,0.0084426,0.012705,0.003795
5500,250,0.16,0.0081577,0.012705,0.003795
6500,50,0.22,0.014806,0.012705,0.003795
6500,100,0.22,0.013884,0.012705,0.003795
6500,150,0.22,0.013074,0.012705,0.003795
6500,200,0.22,0.012144,0.012705,0.003795
1500,100,0.01,0.0065354,0.011797,0.004703
500,50,0,0.0026469,0.011797,0.004703
500,100,0,0.0025393,0.011797,0.004703
500,150,0,0.0019172,0.011797,0.004703
500,200,0,0.000062591,0.011797,0.004703
500,250,0,0.000018554,0.011797,0.004703
1500,50,0.01,0.0067774,0.011797,0.004703
1500,150,0.01,0.0044605,0.011797,0.004703
1500,200,0.01,0.0000505,0.011797,0.004703
1500,250,0.01,5.2556E-06,0.011797,0.004703
2500,50,0.04,0.0098068,0.011797,0.004703
2500,100,0.04,0.0094052,0.011797,0.004703
2500,150,0.03,0.0048241,0.011797,0.004703
2500,200,0.03,0.00021069,0.011797,0.004703
2500,250,0.04,0.000072642,0.011797,0.004703
3500,50,0.07,0.011129,0.011797,0.004703
3500,100,0.07,0.010517,0.011797,0.004703
3500,150,0.06,0.0042925,0.011797,0.004703
3500,200,0.07,0.0013094,0.011797,0.004703
3500,250,0.07,0.0010382,0.011797,0.004703
4500,50,0.11,0.0099884,0.011797,0.004703
4500,100,0.11,0.0090833,0.011797,0.004703
4500,150,0.1,0.0048386,0.011797,0.004703
4500,200,0.11,0.0029213,0.011797,0.004703
4500,250,0.11,0.0027188,0.011797,0.004703
5500,50,0.15,0.0086744,0.011797,0.004703
5500,100,0.15,0.008106,0.011797,0.004703
5500,150,0.15,0.006146,0.011797,0.004703
5500,200,0.15,0.0048821,0.011797,0.004703
5500,250,0.16,0.0046845,0.011797,0.004703
6500,50,0.21,0.0095105,0.011797,0.004703
6500,100,0.21,0.0090427,0.011797,0.004703
6500,150,0.21,0.0080759,0.011797,0.004703
6500,200,0.21,0.0070544,0.011797,0.004703
1500,100,0.01,0.0046067,0.01089,0.00561
500,50,0,0.0018671,0.01089,0.00561
500,100,0,0.0017802,0.01089,0.00561
500,150,0,0.0013037,0.01089,0.00561
500,200,0,0.000043955,0.01089,0.00561
500,250,0,0.000014272,0.01089,0.00561
1500,50,0.01,0.0047989,0.01089,0.00561
1500,150,0.01,0.0030806,0.01089,0.00561
1500,200,0.01,3.92E-05,0.01089,0.00561
1500,250,0.01,4.26E-06,0.01089,0.00561
2500,50,0.03,0.0068985,0.01089,0.00561
2500,100,0.03,0.0065837,0.01089,0.00561
2500,150,0.03,0.0034624,0.01089,0.00561
2500,200,0.03,0.00011422,0.01089,0.00561
2500,250,0.03,0.000024749,0.01089,0.00561
3500,50,0.07,0.0078383,0.01089,0.00561
3500,100,0.07,0.0073954,0.01089,0.00561
3500,150,0.06,0.0031728,0.01089,0.00561
3500,200,0.06,0.00069402,0.01089,0.00561
3500,250,0.07,0.00048401,0.01089,0.00561
4500,50,0.11,0.0072848,0.01089,0.00561
4500,100,0.11,0.0066702,0.01089,0.00561
4500,150,0.1,0.0034423,0.01089,0.00561
4500,200,0.11,0.0016688,0.01089,0.00561
4500,250,0.11,0.0014698,0.01089,0.00561
5500,50,0.16,0.0063073,0.01089,0.00561
5500,100,0.15,0.0059212,0.01089,0.00561
5500,150,0.16,0.0041733,0.01089,0.00561
5500,200,0.16,0.0028805,0.01089,0.00561
5500,250,0.16,0.002698,0.01089,0.00561
6500,50,0.22,0.0065502,0.01089,0.00561
6500,100,0.22,0.0062675,0.01089,0.00561
6500,150,0.22,0.0052846,0.01089,0.00561
6500,200,0.22,0.0042288,0.01089,0.00561
1500,100,0.01,0.0032026,0.0099495,0.0065505
500,50,0,0.0013091,0.0099495,0.0065505
500,100,0,0.0012317,0.0099495,0.0065505
