CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location
3500,100,0.72,0.43116,0
3500,100,0.67,0.41891,1.60E-05
3500,100,0.62,0.40666,3.30E-05
3500,100,0.56,0.39441,4.90E-05
3500,100,0.51,0.38216,6.60E-05
3500,100,0.46,0.36991,8.30E-05
3500,100,0.41,0.35766,9.90E-05
3500,100,0.39,0.34156,0.000116
3500,100,0.37,0.32521,0.000132
3500,100,0.35,0.30887,0.000148
3500,100,0.33,0.29252,0.000165
3500,100,0.32,0.27617,0.000181
3500,100,0.3,0.25983,0.000198
3500,100,0.28,0.24784,0.000215
3500,100,0.28,0.2408,0.000231
3500,100,0.27,0.23376,0.000248
3500,100,0.26,0.22672,0.000264
3500,100,0.26,0.21968,0.00028
3500,100,0.25,0.21264,0.000297
3500,100,0.24,0.2056,0.000314
3500,100,0.24,0.20025,0.00033
3500,100,0.23,0.19624,0.000347
3500,100,0.23,0.19223,0.000363
3500,100,0.23,0.18822,0.000379
3500,100,0.22,0.18421,0.000396
3500,100,0.22,0.1802,0.000412
3500,100,0.21,0.17618,0.000429
3500,100,0.21,0.17236,0.000446
3500,100,0.21,0.16941,0.000462
3500,100,0.21,0.16646,0.000479
3500,100,0.2,0.16351,0.000495
3500,100,0.2,0.16056,0.000511
3500,100,0.2,0.15761,0.000528
3500,100,0.19,0.15466,0.000544
3500,100,0.19,0.15171,0.000561
3500,100,0.19,0.14889,0.000578
3500,100,0.19,0.14638,0.000594
3500,100,0.18,0.14387,0.000611
3500,100,0.18,0.14135,0.000627
3500,100,0.18,0.13884,0.000643
3500,100,0.18,0.13633,0.00066
3500,100,0.17,0.13382,0.000676
3500,100,0.17,0.13131,0.000693
3500,100,0.17,0.1288,0.00071
3500,100,0.17,0.12648,0.000726
3500,100,0.16,0.12418,0.000743
3500,100,0.16,0.12188,0.000759
3500,100,0.16,0.11958,0.000775
3500,100,0.16,0.11728,0.000792
3500,100,0.16,0.11499,0.000808
3500,100,0.15,0.11269,0.000825
3500,100,0.15,0.11039,0.000842
3500,100,0.15,0.10809,0.000858
3500,100,0.15,0.10599,0.000875
3500,100,0.15,0.10392,0.000891
3500,100,0.14,0.10184,0.000908
3500,100,0.14,0.099762,0.000924
3500,100,0.14,0.097684,0.00094
3500,100,0.14,0.095607,0.000957
3500,100,0.14,0.093529,0.000974
3500,100,0.13,0.091452,0.00099
3500,100,0.13,0.089374,0.001006
3500,100,0.13,0.087416,0.001023
3500,100,0.13,0.085711,0.00104
3500,100,0.13,0.084006,0.001056
3500,100,0.13,0.082301,0.001072
3500,100,0.12,0.080595,0.001089
3500,100,0.12,0.07889,0.001105
3500,100,0.12,0.077185,0.001122
3500,100,0.12,0.07548,0.001139
3500,100,0.12,0.073775,0.001155
3500,100,0.12,0.07207,0.001171
3500,100,0.12,0.070403,0.001188
3500,100,0.11,0.069168,0.001205
3500,100,0.11,0.067933,0.001221
3500,100,0.11,0.066698,0.001237
3500,100,0.11,0.065463,0.001254
3500,100,0.11,0.064228,0.001271
3500,100,0.11,0.062993,0.001287
3500,100,0.11,0.061758,0.001303
3500,100,0.11,0.060523,0.00132
3500,100,0.11,0.059288,0.001337
3500,100,0.1,0.058052,0.001353
3500,100,0.1,0.056877,0.001369
3500,100,0.1,0.056042,0.001386
3500,100,0.1,0.055207,0.001403
3500,100,0.1,0.054372,0.001419
3500,100,0.1,0.053537,0.001435
3500,100,0.1,0.052702,0.001452
3500,100,0.1,0.051867,0.001469
3500,100,0.1,0.051032,0.001485
3500,100,0.1,0.050197,0.001501
3500,100,0.1,0.049362,0.001518
3500,100,0.1,0.048526,0.001535
3500,100,0.1,0.047691,0.001551
3500,100,0.1,0.046982,0.001567
3500,100,0.09,0.046412,0.001584
3500,100,0.09,0.045841,0.001601
3500,100,0.09,0.045271,0.001617
3500,100,0.09,0.0447,0.001633
3500,100,0.09,0.04413,0.00165
3500,100,0.09,0.04356,0.001667
3500,100,0.09,0.042989,0.001683
3500,100,0.09,0.042419,0.001699
3500,100,0.09,0.041848,0.001716
3500,100,0.09,0.041278,0.001733
3500,100,0.09,0.040707,0.001749
3500,100,0.09,0.040139,0.001765
3500,100,0.09,0.039731,0.001782
3500,100,0.09,0.039324,0.001799
3500,100,0.09,0.038917,0.001815
3500,100,0.09,0.038509,0.001831
3500,100,0.09,0.038102,0.001848
